ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
56,simple,PET-900,"Organic CBD Pet Tincture 900 mg",1,0,visible,"<span style=""font-weight: 400;"">Our Broad Spectrum CBD pet tincture can easily be mixed into food or water.</span><b><i>
\n</i></b>
\n
\n<span style=""font-weight: 400;"">- Fast-acting</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Naturally relieves stress</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Relieves joint pains</span>","Your furry friend deserves the same quality of CBD product as you do. Our USDA organic CBD pet tincture contains broad-spectrum hemp extract which has all the beneficial terpenes in hemp but without the psychoactive THC. This higher concentration formula is great for larger dogs. Give daily to promote calm, restful sleep and joint and mobility health.
\n
\nContains 7.5 mg per quarter (.25 ml) dropper
\nTotal of 900 mg per bottle
\n
\n<strong>Ingredients</strong>
\nOrganic Extra Virgin Olive Oil and Organic Broad-Spectrum Hemp Extract (0% THC)
\n
\n1 fl oz / 30mL",,,taxable,,1,7,5,0,0,,,,,1,,,77.95,"CBD Pet",,,https://brighterdayzcbd.com/wp-content/uploads/2021/09/Optimised_BrighterDayzCBD_Tincture_Pet_900mg_USDA_Front.png,,,,,"PET-TRE, PET-450","SAL-LAV, SOF-EVE, TIN-UNF",,,0
59,simple,PET-450,"Organic CBD Pet Tincture 450 mg",1,0,visible,"<span style=""font-weight: 400;"">Our Broad Spectrum CBD pet tincture can easily be mixed into food or water.</span>
\n
\n<span style=""font-weight: 400;"">- Fast-acting</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Naturally relieves stress</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Relieves joint pains</span>","Your furry friend deserves the same quality CBD product as you do. Our USDA organic CBD pet tincture contains broad-spectrum hemp extract which has all the beneficial terpenes in hemp but without the psychoactive THC. Give daily to promote calm, restful sleep and joint and mobility health.
\n
\nContains 3.75 mg per quarter (.25 ml) dropper
\nTotal of 450 mg per bottle
\n
\n<strong>Ingredients</strong>
\nOrganic Extra Virgin Olive Oil and Organic Broad-Spectrum Hemp Extract (0% THC)
\n
\n1 fl oz / 30mL",,,taxable,,1,12,5,0,0,,,,,1,,,54.95,"CBD Pet",,,"https://brighterdayzcbd.com/wp-content/uploads/2021/09/Oil_Drops_Pet-Formula-450mg-Tinctures.png, https://brighterdayzcbd.com/wp-content/uploads/2021/09/BrighterDayzCBD-34-scaled-1.jpg",,,,,,,,,0
61,simple,PET-TRE,"CBD Dog Chews",1,0,visible,"<span style=""font-weight: 400;"">Broad Spectrum CBD dog chews to soothe anxiety and joint pains. Ideal for smaller dogs.</span>
\n
\n<span style=""font-weight: 400;"">- Fast-acting Bacon Beef flavor</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Relieves anxiety</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Promotes joint health and lessens aches and pains</span>","Get the benefits of CBD for your beloved dog with our beef-flavored dog chews. Made with water-soluble CBD powder for better absorption, you will be giving your dog premium CBD to promote a sense of calm, wellness and to aid joint and mobility health.
\n
\n<strong>Ingredients</strong>
\nWater-Soluble Phytocannabinoid-Rich Hemp Extract Powder, Water, Dried Brewer’s Yeast, Glycerin, Gum Arabic, Sodium Alginate, Beef Liver Powder, Natural Bacon Flavor, Flaxseed Oil, Microcrystalline Cellulose, Organic Sweet Potato Powder, Sunflower Lecithin (Non-GMO), Citrus Pectin, Vitamin E, Sodium Propionate, Calcium Sulfate Dihydrate, Natural Mixed Tocopherols (Natural Preservative) and Dextrin (Corn Derived)
\n
\n30 pieces",,,taxable,,0,0,5,0,0,,,,,1,,,34.95,"CBD Pet",,,"https://brighterdayzcbd.com/wp-content/uploads/2021/09/CBD-Dog-Chews_Bacon-Beef.png, https://brighterdayzcbd.com/wp-content/uploads/2021/09/BrighterDayzCBD-4-1.jpg",,,,,"CRE-CRE, PET-450, PET-900","CRE-CRE, SAL-STI, SOF-EVE, TIN-UNF",,,0
64,simple,TIN-UNF,"Organic CBD Tincture Unflavored",1,0,visible,"<span style=""font-weight: 400;"">Broad Spectrum CBD Tincture</span>
\n
\n<span style=""font-weight: 400;"">- Easily add to drinks or smoothies</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Relieve stress naturally</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Promotes joint health and lessens aches and pains</span>","With only two ingredients, our USDA Organic broad spectrum tincture is perfect to take by mouth or add to your favorite recipes to promote calmness, restful sleep, and increase overall joint and mobility health.
\n
\nContains 15 mg CBD per serving
\n
\n<strong>Ingredients</strong>
\nOrganic Extra Virgin Olive Oil and Organic Broad-Spectrum Hemp (0% THC)
\n
\n1 fl oz / 30mL",,,taxable,,1,28,5,0,0,,,,,1,,,54.95,"CBD Ingestables",,,"https://brighterdayzcbd.com/wp-content/uploads/2021/09/Oil_Drops_Unflavored-Tinctures.png, https://brighterdayzcbd.com/wp-content/uploads/2022/01/Dropper-image.png, https://brighterdayzcbd.com/wp-content/uploads/2022/01/BrighterDayzCBD-31-scaled.jpg, https://brighterdayzcbd.com/wp-content/uploads/2022/01/9-2-scaled.jpg",,,,,"SOF-EVE, TIN-LIM, TIN-MIN",,,,0
67,simple,TIN-MIN,"Organic CBD Tincture Mint",1,0,visible,"<span style=""font-weight: 400;""> Naturally Flavored Broad Spectrum CBD Tincture</span>
\n
\n<span style=""font-weight: 400;"">- Easily add to drinks or smoothies</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Naturally relieve stress</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Promotes joint health and lessens aches and pains</span><span style=""font-weight: 400;"">
\n</span>","With only three ingredients, our USDA Organic broad spectrum mint-flavored tincture is perfect to take by mouth or add to your favorite recipes to promote calmness, restful sleep, and overall joint and mobility health.
\n
\nContains 15 mg CBD per serving
\n
\n<strong>Ingredients</strong>
\nOrganic Extra Virgin Olive Oil, Organic Peppermint Essential Oil, Organic Broad-Spectrum Hemp Extract (0% THC)
\n
\n1 fl oz / 30mL",,,taxable,,1,19,5,0,0,,,,,1,,,54.95,"CBD Ingestables",,,"https://brighterdayzcbd.com/wp-content/uploads/2021/09/Oil_Drops_Fresh-Mint-Tinctures.png, https://brighterdayzcbd.com/wp-content/uploads/2021/09/BrighterDayzCBD-14.jpg, https://brighterdayzcbd.com/wp-content/uploads/2021/09/BrighterDayzCBD-29-scaled-1.jpg",,,,,"SOF-EVE, TIN-LIM, TIN-UNF",,,,0
70,simple,TIN-LIM,"Organic CBD Tincture Key Lime",1,0,visible,"Organic Key Lime flavored Full Spectrum CBD Tincture
\n
\n<span style=""font-weight: 400;"">- Easily add to drinks or smoothies</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Relieve stress naturally</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Promotes joint health and lessens aches and pains</span>","Our USDA Organic Lime Full Spectrum CBD tincture contains no artificial colors or flavors and can be taken daily to promote calm and improve overall health and wellness. Benefits of full-spectrum hemp extract include the benefits of all the terpenes and phytonutrients of hemp that are believed to enhance the effect of CBD on the endocannabinoid system also known as the entourage effect.
\n
\nContains 15 mg CBD per serving
\n
\n<strong>Ingredients</strong>
\nOrganic MCT Oil, Organic Key Lime Essential Oil, Organic Stevia, and Full Spectrum Hemp Extract (contains less than 0.3% THC)
\n
\n1 fl oz / 30mL",,,taxable,,1,19,3,0,0,,,,,1,,,54.95,"CBD Ingestables",,,"https://brighterdayzcbd.com/wp-content/uploads/2021/09/Oil_Drops_Lime-Flavor-Tinctures.png, https://brighterdayzcbd.com/wp-content/uploads/2022/01/Tincture-close-up-scaled.jpg",,,,,"SOF-EVE, TIN-MIN, TIN-UNF","CRE-CRE, CRE-SPO, PET-450",,,0
73,simple,SOF-EVE,"CBD Soft Gels",1,0,visible,"<span style=""font-weight: 400;"">Easy to swallow CBD soft gels to promote healthy sleep and relaxation.</span>
\n
\n<span style=""font-weight: 400;"">- Easy to swallow</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Optimal CBD absorption</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Promotes relaxation and healthy sleep</span>","<span style=""font-weight: 400;"">Want an alternative to tinctures? Our easy-to-swallow premium THC-free CBD soft gels are made with water-soluble nanoemulsion technology which increases bioavailability resulting in a soft gel that maintains potency when ingested so you can feel confident you are receiving the full dosage of CBD per soft gel.</span>
\n
\n<strong>Ingredients</strong>
\nOrganic hemp extract, Polysorbate Emulsifiers, Medium Chain Triglycerides, ?-Caryophyllene, Bovine-Derived Gelatin, Glycerin, Sorbitol and Water.
\n<div><strong data-redactor-tag=""strong"">Contains: Tree Nuts (Coconut)</strong></div>
\n<div></div>
\n<div>30 softgels</div>",,,taxable,,1,8,5,0,0,,,,,1,,,69.95,"CBD Ingestables",,,"https://brighterdayzcbd.com/wp-content/uploads/2021/09/CBD-Softgels_Everyday.png, https://brighterdayzcbd.com/wp-content/uploads/2021/09/BrighterDayzCBD-20-scaled-1.jpg, https://brighterdayzcbd.com/wp-content/uploads/2022/01/Photo-Nov-13-4-04-30-PM-scaled.jpg, https://brighterdayzcbd.com/wp-content/uploads/2022/01/bdcbd-2-scaled.jpg",,,,,"TIN-LIM, TIN-MIN, TIN-UNF",,,,0
76,simple,CRE-CRE,"CBD Cream",1,0,visible,"<span style=""font-weight: 400;"">Lightweight CBD lotion perfect for everyday use.</span>
\n
\n<span style=""font-weight: 400;"">- Immediate Healing </span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Simple and Effective</span>","Looking for a daily CBD lotion that is lightweight and non-greasy? Our unscented THC-free CBD lotion contains 250 mg of CBD and is formulated with high-quality ingredients and is ideal for those with sensitive skin.
\n
\n<strong>Ingredients</strong>
\nWater/Aqua, Organic Olea Europaea (Olive) Fruit Oil, Organic Glycerin, Cetearyl Glucoside, Cetyl Alcohol, Sorbitan Olivate, Cannabis Sativa (Hemp) Extract, Gluconolactone, Carthamus Tinctorius (Safflower) Oleosomes, Xanthan Gum, Sodium Benzoate, Potassium Sorbate, Sodium Stearoyl Glutamate, Tocopherol, Organic Aloe Barbadensis Leaf Juice, Sea Salt, Calcium Gluconate.
\n
\n1 fl oz / 30 mL",,,taxable,,1,5,5,0,0,,,,,1,,,29.95,"CBD Topicals",,,https://brighterdayzcbd.com/wp-content/uploads/2021/09/CBD-Cream_Unscented.png,,,,,,PET-TRE,,,0
79,simple,SAL-STI,"CBD Salve Stick",1,0,visible,"<span style=""font-weight: 400;"">Our CBD Salve Stick provides quick, on-the-go healing! </span>
\n
\n<span style=""font-weight: 400;"">- Easily apply to cracked and dry skin</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Instantly soothes and protects</span>","Looking for a topical CBD salve that is perfect for on the go and fits easily in your pocket or bag? Our premium CBD salve stick contains 250 mg of broad-spectrum CBD and nutrient-rich organic oils that are perfect for soothing dry, cracked skin.
\n
\n<strong>Ingredients</strong>
\nOrganic Butyrospermum Parkii (Shea Butter), Organic Cera Alba (Beeswax), Organic Cannabis Sativa (Hemp) Seed Oil, Organic Caprylic/Capric Triglyceride, Organic Helianthus Annuus (Sunflower) Seed Oil, Cannabis Sativa (Hemp) Extract, Tocopherol, Organic Simmondsia Chinensis (Jojoba) Seed Oil, Organic Rosmarinus Officinalis (Rosemary) Leaf Extract.
\n<div><strong data-redactor-tag=""strong"">Contains: Tree Nuts (Coconut)</strong></div>
\n<div></div>
\n<div>0.5 fl oz / 15mL</div>",,,taxable,,1,8,5,0,0,,,,,1,,,24.95,"CBD Topicals",,,https://brighterdayzcbd.com/wp-content/uploads/2021/09/Salve-stick_Unscented.png,,,,,"CRE-CRE, SAL-LAV, CRE-SPO",,,,0
83,simple,SAL-LAV,"CBD Salve with Lavender and Eucalyptus",1,0,visible,"<span style=""font-weight: 400;"">Enjoy the power of a CBD salve with the added healing properties of lavender and eucalyptus oils.</span>
\n
\n<span style=""font-weight: 400;"">- Heal and nourish extremely dry and cracked skin</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;"">- Soften aches and pains in joints and muscles</span>","<span style=""font-weight: 400;"">Our organic CBD salve contains 500 mg of CBD per jar and is created using the finest ingredients to help heal and support overall skin health. Our CBD Salve is made from all organic ingredients including nutrient-rich hemp oil, beeswax, and coconut oil which has potent antibacterial, antifungal, and anti-inflammatory properties. An ideal product for healthcare workers who are looking for a versatile product to address dry cracked skin from frequent handwashing.</span>
\n
\n<strong>Ingredients</strong>
\nOrganic Caprylic/Capric Triglyceride, Organic Cera Alba (Beeswax), Organics Cannabis Sativa (Hemp) Extract, Organic Lavandula Angustifolia (Lavender) Oil, Organic Eucalyptus Globulus Leaf Oil.
\n
\n<strong>Contains: Tree Nuts (Coconut)</strong>
\n
\nNet Wt. 1oz (28.35g)",,,taxable,,1,14,5,0,0,,,,,1,,,44.95,"CBD Topicals",,,"https://brighterdayzcbd.com/wp-content/uploads/2021/09/CBD-Salve_Lavender.png, https://brighterdayzcbd.com/wp-content/uploads/2021/09/BrighterDayzCBD-18-scaled-1.jpg, https://brighterdayzcbd.com/wp-content/uploads/2022/01/BrighterDayzCBD-33-scaled.jpg",,,,,"CRE-CRE, SAL-STI, CRE-SPO",,,,0
